(0 ,0   )
(1 ,30  )
(2 ,29  )
(3 ,30  )
(4 ,29  )
(5 ,31  )
(6 ,90  )
(7 ,132 )
(8 ,99  )
(9 ,90  )
(10,155 )
(11,723 )
(12,4083)
(13,2024)
(14,1394)
(15,1133)
(16,2020)
(17,1115)
(18,1127)
(19,6147)
(20,6413)
(21,6139)
(22,1169)
(23,1705)
(24,4114)
(25,4482)
(26,3904)
(27,6028)
(28,3935)
(29,4524)
(30,6244)
(31,5227)
(32,6040)
(33,3762)
(34,2217)
(35,5432)
(36,5223)
(37,3291)
(38,4496)
(39,4576)
(40,4092)
(41,5492)
(42,5713)
(43,5217)
(44,6387)
(45,5281)
(46,2044)
(47,6418)
(48,4085)
(49,2043)
(50,2043)
(51,6144)
(52,3951)
(53,2042)
(54,1135)
(55,4102)
(56,3919)
(57,2043)
(58,3886)
(59,2044)
